link,title,company,reward
풀스택 웹 개발자 (C# & NextJS),비앨피코리아,경력 1-5년,합격보상금 100만원
Casino Platform Frontend Developer(React Web),앤서스랩코리아,경력 4년 이상,합격보상금 100만원
풀스택 개발자,니즈,경력 5-10년,합격보상금 100만원
Frontend Software Engineer (4~6년),가우디오랩,경력 4-6년,합격보상금 100만원
WEB Front 개발 리더 (4년),아인잡(AINJOB),경력 4-10년,합격보상금 100만원
프론트엔드 개발자(3~7년),몰리턴,경력 3-7년,합격보상금 100만원
[인턴] Next.js 풀스택 개발자,루미크래프트,신입 · 인턴,합격보상금 100만원
Web Frontend Developer,비바이노베이션,경력 5-10년,합격보상금 100만원
풀스택 웹 개발자 (C# & NextJS),비앨피코리아,경력 1-5년,합격보상금 100만원
Casino Platform Frontend Developer(React Web),앤서스랩코리아,경력 4년 이상,합격보상금 100만원
풀스택 개발자,니즈,경력 5-10년,합격보상금 100만원
Frontend Software Engineer (4~6년),가우디오랩,경력 4-6년,합격보상금 100만원
WEB Front 개발 리더 (4년),아인잡(AINJOB),경력 4-10년,합격보상금 100만원
프론트엔드 개발자(3~7년),몰리턴,경력 3-7년,합격보상금 100만원
[인턴] Next.js 풀스택 개발자,루미크래프트,신입 · 인턴,합격보상금 100만원
Web Frontend Developer,비바이노베이션,경력 5-10년,합격보상금 100만원
[Platform] 프론트엔드 웹 개발,베이글코드(Bagelcode),경력 5년 이상,합격보상금 100만원
웹 프론트엔드 개발자 (5년차 이상),뉴스젤리(Newsjelly),경력 5년 이상,합격보상금 100만원
[Commerce] 프론트엔드 개발자(5년이상/파트리드),와이즐리컴퍼니,경력 5년 이상,합격보상금 100만원
Frontend Developer(5년 이상),네이션에이,경력 5년 이상,합격보상금 100만원
[라이브클래스] Front-End Engineer (Senior),퓨쳐스콜레,경력 5년 이상,합격보상금 100만원
Next.js 풀스택 개발자,루미크래프트,신입,합격보상금 100만원
프론트엔드 웹 개발자 (3~7년),핸들리,경력 3-10년,합격보상금 100만원
[연구개발부문] Frontend Senior 개발자,크라우드웍스,경력 10년 이상,합격보상금 100만원
Data Engineer (AI),미소(miso),경력 5년 이상,합격보상금 100만원
"개발팀장 (React Native + Node.js 개발, 5년 이상)",더블유클럽,경력 4-8년,합격보상금 100만원
Frontend Engineer,라이너(Liner),경력 5년 이상,합격보상금 100만원
프론트엔드 개발자 (블록체인),넥써쓰,경력 5년 이상,합격보상금 100만원
웹(NextJS) 및 앱(React Native) 개발자,워로브라더스,경력 3-7년,합격보상금 100만원
개발팀장,아이트럭,경력 7-25년,합격보상금 100만원
Fullstack Engineer,스포트라이트글로벌,경력 5년 이상,합격보상금 100만원
웹 백엔드 개발자 (5년차 이상),뉴스젤리(Newsjelly),경력 5년 이상,합격보상금 100만원
프론트엔드 웹 개발자 React.js / Next.js (3~5년),클라우드호스피탈,경력 3-5년,합격보상금 100만원
웹(NextJS) 및 앱(React Native) 개발자,왈로우,경력 3-7년,합격보상금 100만원
웹 서비스 개발자,데이콘,경력 3-5년,합격보상금 100만원
Fullstack Engineer (10년 이상),리얼드로우,경력 10-15년,합격보상금 100만원
"[패스트캠퍼스] 프론트엔드 개발자(주니어, 1년 이상)",데이원컴퍼니,경력 1-5년,합격보상금 100만원
SW 웹( FrontEnd ) 개발자 (1년 이상 ~ 3년 이하),법틀,경력 1-3년,합격보상금 100만원
프론트엔드 개발자 (2~5년차),메이데이파트너스,경력 2-7년,합격보상금 100만원
[포카마켓] React 프론트엔드 개발자 (3-5년),인플루디오,경력 3년 이상,합격보상금 100만원
웹 프론트엔드 엔지니어,바이오리서치에이아이,경력 1-3년,합격보상금 100만원
[웨비나우] 프론트엔드 개발자,스튜디오얌얌,신입,합격보상금 100만원
웹 풀스택(Fullstack) 주니어 개발자,에이아이구루,경력 2-3년,합격보상금 100만원
웹 프론트엔드 개발자,딜리셔스(신상마켓),경력 2-5년,합격보상금 100만원
Frontend Engineer,코코지,경력 3-6년,합격보상금 100만원
FE(Front-end Engineer) 엔지니어,라이언로켓,경력 1-8년,합격보상금 100만원
프론트엔드 개발자(3~5년),랭디,경력 3-5년,합격보상금 100만원
[인턴] 프롭테크 플랫폼 서비스 개발,지니수,신입 · 인턴,합격보상금 100만원
Full-stack Engineer (New Fintech Product),쿠팡,경력 7년 이상,합격보상금 100만원
AI 리엑트 개발자,정리습관,신입 이상,합격보상금 100만원
프론트엔드 개발자,이너트립,경력 4-12년,합격보상금 100만원
프론트엔드 개발자,렉스소프트,경력 2-10년 · 계약직,합격보상금 20만원
Frontend Developer(AI Infra),오케스트로,경력 3년 이상,합격보상금 100만원
[카카오계열사] Frontend Developer,보이스루,경력 3년 이상,합격보상금 100만원
Frontend 개발자,오픈플랜,경력 1-3년,합격보상금 100만원
[마메드네(구 카카오헤어샵)] Frontend Developer (1년 ~ 3년),글리티,경력 1-3년,합격보상금 100만원
[픽셀 히어로즈 어드벤처] 프론트엔드 개발자 (신입 ~ 5년),제트5,신입-경력 5년,합격보상금 100만원
프론트엔드 웹 퍼블리셔 (React/Next.js 기반),신테카바이오,경력 3-7년,합격보상금 100만원
Next.js 프론트엔드/백엔드 개발자,스네이크스테이크,경력 3-6년,합격보상금 100만원
Software engineer Frontend,아키스케치,경력 2-10년,합격보상금 100만원
"풀스택 개발자 (Product Builder, 3년 이상)",브리딩(BreedingCorp.),경력 3-9년,합격보상금 100만원
Sr. Frontend Engineer,에이아이트릭스(AITRICS),경력 5년 이상,합격보상금 100만원
웹 프론트엔드 개발자 (React),디렉셔널,경력 1년 이상,합격보상금 100만원
[hourplace] React 프론트엔드 개발자,먼치팩토리,경력 5-15년,합격보상금 100만원
[디어테일] 프론트엔드 개발자 (2년 이상),페치,경력 2-10년 · 계약직,합격보상금 20만원
[Geneva] 웹 프론트 개발자,베이글코드(Bagelcode),경력 5년 이상,합격보상금 100만원
Front-End/FullStack Developer,내러티브(Narrative),경력 2-6년,합격보상금 100만원
프론트엔드 개발자 (3년~5년),테이텀,경력 3-5년,합격보상금 100만원
Frontend developer 웹 프론트엔드 개발자,스위치원,경력 5년 이상,합격보상금 100만원
[타이트 사주] 프론트엔드 개발자 (풀스택 개발자),사이버네틱스,신입-경력 4년,합격보상금 100만원
프론트엔드 개발자(신입~3년차),케이존,신입-경력 3년,합격보상금 100만원
[골디] DEVELOPMENT팀 풀스택 개발자,골드앤컴퍼니,경력 1-5년,합격보상금 100만원
Frontend-engineer,프렉탈테크놀로지,경력 3-10년,합격보상금 100만원
Frontend Engineer (Global/3년 이상),리디(RIDI),경력 3년 이상,합격보상금 100만원
FrontEnd Engineer (React/React-Native),더블엔씨,경력 4년 이상,합격보상금 100만원
[CC CTO] 다나와개발본부 Frontend Engineer,커넥트웨이브,경력 5-15년,합격보상금 100만원
프론트엔드 개발자 (React.js 2년이상),코딧(CODITCorp.),경력 2-4년,합격보상금 100만원
Front-end Software Engineer,워드브릭스,경력 1-10년,합격보상금 100만원
[인턴] 소프트웨어 엔지니어,이모코그,신입 · 인턴,합격보상금 100만원
프론트엔드 개발자 (Senior),트래블월렛,경력 6년 이상,합격보상금 100만원
Frontend Engineer,하우빌드,경력 5-7년,합격보상금 100만원
프론트엔드 개발자 3년차 이상~,케이존,경력 3-8년,합격보상금 100만원
"React, Next.js 웹 프론트 개발자 (4~5년)",루트업,경력 4-7년,합격보상금 100만원
Frontend Software Engineer,시나몬,경력 4-15년,합격보상금 100만원
Fullstack Engineer,인트포,신입-경력 3년,합격보상금 100만원
[AX CIC] Frontend Engineer,뤼튼테크놀로지스,경력 3년 이상,합격보상금 100만원
"Software Engineer, Frontend - 다이나믹 패키지",놀유니버스,경력 2-7년,합격보상금 100만원
프론트엔드 개발자 (React Native),테서,신입-경력 10년,합격보상금 100만원
[인턴] [Metheus] FE Engineer,틸다,신입 · 인턴,합격보상금 100만원
Front-end Engineer,디비디랩,경력 3년 이상,합격보상금 100만원
[뤼튼/크랙] Frontend Engineer,뤼튼테크놀로지스,경력 7년 이상,합격보상금 100만원
웹 프론트엔드 개발자,코인원(coinone),경력 4-10년,합격보상금 100만원
B2B 탄소회계 SaaS 프론트엔드 개발자 (3년이상),엔츠,경력 3년 이상,합격보상금 100만원
웹 프론트엔드 (NextJS) 개발자,에듀이엔브이,경력 1-2년,합격보상금 100만원
Software Engineer,코르카,신입 이상,합격보상금 100만원
백엔드 개발자,트레바리(TREVARI),경력 7-15년,합격보상금 100만원
프론트엔드 개발자 (3년 ~ 5년),제로백데브,경력 3-5년,합격보상금 100만원
Frontend Engineer,바카티오(Vacatio),신입,합격보상금 100만원
[인턴] Frontend Engineer,바카티오(Vacatio),신입 · 인턴,합격보상금 100만원
[리텐틱스] 프론트엔드 개발자,프라이데이즈랩(Retentics),경력 4년 이상,합격보상금 100만원
Electron Developer.,오피지지(OP.GG),경력 5년 이상,합격보상금 100만원
프론트엔드 개발자(시니어),카카오페이증권(kakaopay증권),경력 5년 이상,합격보상금 100만원
Product Engineer (백엔드),퍼슬리,경력 3-10년,합격보상금 100만원
Frontend Engineer,우주탐험가,경력 2년 이상,합격보상금 100만원
파스타 프론트엔드 개발자,카카오헬스케어,경력 2년 이상,합격보상금 100만원
